elo,elo_diff,move_count,acpl,cpl_std,opening_acpl,middlegame_acpl,endgame_acpl,best_move_rate,top3_rate,blunder_rate,mistake_rate,avg_entropy,avg_complexity,label
1088.0,-82.0,39,103.8,229.8031,73.8,114.1,0.0,0.36,0.59,0.13,0.23,0.9035,12.4081,0
1170.0,82.0,39,51.5,162.7225,21.9,60.3,0.0,0.44,0.67,0.05,0.13,0.9677,14.8174,1
1900.0,12.0,26,100.3,200.7249,33.7,142.0,0.0,0.27,0.58,0.12,0.31,0.9604,15.3809,0
1888.0,-12.0,26,25.6,34.4082,22.4,27.3,0.0,0.46,0.77,0.0,0.19,0.9635,15.854,1
1993.0,-132.0,23,83.4,104.3372,41.5,115.7,0.0,0.48,0.61,0.22,0.26,0.9617,16.0393,0
2125.0,132.0,22,83.1,110.9092,25.0,123.3,0.0,0.55,0.73,0.23,0.14,0.6044,9.3439,1
1500.0,-3.0,47,81.2,204.0233,22.6,51.4,292.9,0.3,0.62,0.06,0.21,0.9624,15.0174,0
1503.0,3.0,46,100.2,225.2087,36.7,75.8,286.3,0.43,0.67,0.11,0.22,0.9355,10.7131,1
1778.0,65.0,34,84.1,184.1617,49.5,98.6,0.0,0.35,0.65,0.12,0.15,0.973,13.5953,0
1713.0,-65.0,34,23.7,42.5422,27.3,22.4,0.0,0.62,0.82,0.03,0.18,0.9646,14.9809,1
1978.0,-90.0,31,75.1,182.1959,21.2,100.7,0.0,0.32,0.65,0.1,0.23,0.939,14.8087,0
2068.0,90.0,31,30.9,53.3369,20.7,35.1,0.0,0.52,0.68,0.03,0.16,0.9675,14.2969,1
1905.0,-44.0,49,33.4,44.1889,35.8,28.8,45.9,0.35,0.59,0.0,0.2,0.9297,11.5567,0
1949.0,44.0,49,13.0,21.2117,18.3,13.8,5.9,0.59,0.84,0.0,0.08,0.9291,12.3344,1
1625.0,20.0,30,81.8,202.867,18.9,113.2,0.0,0.47,0.8,0.07,0.23,0.8928,12.5863,0
1605.0,-20.0,30,22.4,38.4122,38.7,15.5,0.0,0.57,0.73,0.0,0.17,0.9509,15.2366,1
